resolver,zone,delay,result,query
resolver-powerDNS-4.7.3,1,0,10,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,10,0,98,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,11,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,12,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,13,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,14,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,15,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,16,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,17,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,18,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,19,0,99,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,2,0,20,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,20,0,98,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,3,0,30,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,4,0,40,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,5,0,50,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,6,0,60,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,7,0,70,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,8,0,80,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-powerDNS-4.7.3,9,0,90,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,1,0,5,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,10,0,50,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,11,0,55,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,12,0,60,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,13,0,65,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,14,0,70,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,15,0,75,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,16,0,80,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
resolver-bind-9.18.4,17,0,85,lv10.lv9.lv8.lv7.lv6.lv5.lv4.lv3.lv2.a.target.com. TXT
