x,y,hue
0,0.000000,bind-9.18.4
200,3.778000,bind-9.18.4
400,6.579000,bind-9.18.4
600,9.781000,bind-9.18.4
800,12.988000,bind-9.18.4
1000,16.157000,bind-9.18.4
1200,19.358000,bind-9.18.4
1400,22.576000,bind-9.18.4
0,0.017000,unbound-1.10.0
200,1.670000,unbound-1.10.0
400,3.261000,unbound-1.10.0
600,4.846000,unbound-1.10.0
800,6.470000,unbound-1.10.0
1000,8.058000,unbound-1.10.0
1200,9.643000,unbound-1.10.0
1400,11.236000,unbound-1.10.0
0,0.040000,unbound-1.16.0
200,2.282000,unbound-1.16.0
400,4.455000,unbound-1.16.0
600,6.678000,unbound-1.16.0
800,8.882000,unbound-1.16.0
1000,11.075000,unbound-1.16.0
1200,13.305000,unbound-1.16.0
1400,15.478000,unbound-1.16.0
0,0.029000,powerDNS-4.7.3
200,2.304000,powerDNS-4.7.3
400,4.475000,powerDNS-4.7.3
600,6.655000,powerDNS-4.7.3
800,6.476000,powerDNS-4.7.3
1000,6.037000,powerDNS-4.7.3
1200,6.033000,powerDNS-4.7.3
1400,5.632000,powerDNS-4.7.3
