x,y,hue
0,0.000000,bind-9.18.4
200,3.418000,bind-9.18.4
400,6.629000,bind-9.18.4
600,9.774000,bind-9.18.4
800,12.960000,bind-9.18.4
1000,16.237000,bind-9.18.4
1200,19.479000,bind-9.18.4
1400,22.560000,bind-9.18.4
0,0.026000,unbound-1.10.0
200,1.661000,unbound-1.10.0
400,3.287000,unbound-1.10.0
600,4.860000,unbound-1.10.0
800,6.471000,unbound-1.10.0
1000,8.061000,unbound-1.10.0
1200,9.664000,unbound-1.10.0
1400,11.286000,unbound-1.10.0
0,0.027000,unbound-1.16.0
200,2.279000,unbound-1.16.0
400,4.468000,unbound-1.16.0
600,6.683000,unbound-1.16.0
800,8.892000,unbound-1.16.0
1000,11.054000,unbound-1.16.0
1200,13.260000,unbound-1.16.0
1400,15.475000,unbound-1.16.0
0,0.024000,powerDNS-4.7.3
200,2.289000,powerDNS-4.7.3
400,4.463000,powerDNS-4.7.3
600,6.750000,powerDNS-4.7.3
800,6.433000,powerDNS-4.7.3
1000,6.036000,powerDNS-4.7.3
1200,6.068000,powerDNS-4.7.3
1400,5.624000,powerDNS-4.7.3
