x,y,hue
1,2.000000,bind-9.18.4
2,4.000000,bind-9.18.4
3,6.000000,bind-9.18.4
4,8.000000,bind-9.18.4
5,10.000000,bind-9.18.4
6,12.000000,bind-9.18.4
7,14.000000,bind-9.18.4
8,16.000000,bind-9.18.4
9,18.000000,bind-9.18.4
10,20.000000,bind-9.18.4
1,171.000000,unbound-1.10.0
2,342.000000,unbound-1.10.0
3,513.000000,unbound-1.10.0
4,685.000000,unbound-1.10.0
5,857.000000,unbound-1.10.0
6,1029.000000,unbound-1.10.0
7,1201.000000,unbound-1.10.0
8,1373.000000,unbound-1.10.0
9,1546.000000,unbound-1.10.0
10,1718.000000,unbound-1.10.0
1,225.000000,unbound-1.16.0
2,450.000000,unbound-1.16.0
3,675.000000,unbound-1.16.0
4,675.000000,unbound-1.16.0
5,675.000000,unbound-1.16.0
6,675.000000,unbound-1.16.0
7,675.000000,unbound-1.16.0
8,675.000000,unbound-1.16.0
9,675.000000,unbound-1.16.0
10,675.000000,unbound-1.16.0
1,95.000000,powerDNS-4.7.3
2,95.000000,powerDNS-4.7.3
3,95.000000,powerDNS-4.7.3
4,95.000000,powerDNS-4.7.3
5,95.000000,powerDNS-4.7.3
6,95.000000,powerDNS-4.7.3
7,95.000000,powerDNS-4.7.3
8,95.000000,powerDNS-4.7.3
9,95.000000,powerDNS-4.7.3
10,95.000000,powerDNS-4.7.3
