x,y,hue
1,2.000000,bind-9.18.4
2,4.000000,bind-9.18.4
3,6.000000,bind-9.18.4
4,8.000000,bind-9.18.4
5,10.000000,bind-9.18.4
6,12.000000,bind-9.18.4
7,14.000000,bind-9.18.4
8,16.000000,bind-9.18.4
9,18.000000,bind-9.18.4
10,20.000000,bind-9.18.4
1,28.000000,unbound-1.10.0
2,56.000000,unbound-1.10.0
3,84.000000,unbound-1.10.0
4,112.000000,unbound-1.10.0
5,140.000000,unbound-1.10.0
6,168.000000,unbound-1.10.0
7,196.000000,unbound-1.10.0
8,224.000000,unbound-1.10.0
9,252.000000,unbound-1.10.0
10,280.000000,unbound-1.10.0
1,34.000000,unbound-1.16.0
2,68.000000,unbound-1.16.0
3,102.000000,unbound-1.16.0
4,102.000000,unbound-1.16.0
5,102.000000,unbound-1.16.0
6,102.000000,unbound-1.16.0
7,102.000000,unbound-1.16.0
8,102.000000,unbound-1.16.0
9,102.000000,unbound-1.16.0
10,102.000000,unbound-1.16.0
1,16.000000,powerDNS-4.7.3
2,32.000000,powerDNS-4.7.3
3,48.000000,powerDNS-4.7.3
4,55.000000,powerDNS-4.7.3
5,55.000000,powerDNS-4.7.3
6,55.000000,powerDNS-4.7.3
7,55.000000,powerDNS-4.7.3
8,55.000000,powerDNS-4.7.3
9,55.000000,powerDNS-4.7.3
10,55.000000,powerDNS-4.7.3
