x,y,hue
1,1.000000,bind-9.18.4
2,2.000000,bind-9.18.4
3,3.000000,bind-9.18.4
4,4.000000,bind-9.18.4
5,5.000000,bind-9.18.4
6,6.000000,bind-9.18.4
7,7.000000,bind-9.18.4
8,8.000000,bind-9.18.4
9,9.000000,bind-9.18.4
10,10.000000,bind-9.18.4
1,20.000000,unbound-1.10.0
2,40.000000,unbound-1.10.0
3,60.000000,unbound-1.10.0
4,80.000000,unbound-1.10.0
5,100.000000,unbound-1.10.0
6,120.000000,unbound-1.10.0
7,140.000000,unbound-1.10.0
8,160.000000,unbound-1.10.0
9,180.000000,unbound-1.10.0
10,200.000000,unbound-1.10.0
1,24.000000,unbound-1.16.0
2,48.000000,unbound-1.16.0
3,72.000000,unbound-1.16.0
4,72.000000,unbound-1.16.0
5,72.000000,unbound-1.16.0
6,72.000000,unbound-1.16.0
7,72.000000,unbound-1.16.0
8,72.000000,unbound-1.16.0
9,72.000000,unbound-1.16.0
10,72.000000,unbound-1.16.0
1,12.000000,powerDNS-4.7.3
2,24.000000,powerDNS-4.7.3
3,36.000000,powerDNS-4.7.3
4,48.000000,powerDNS-4.7.3
5,52.000000,powerDNS-4.7.3
6,52.000000,powerDNS-4.7.3
7,52.000000,powerDNS-4.7.3
8,52.000000,powerDNS-4.7.3
9,52.000000,powerDNS-4.7.3
10,52.000000,powerDNS-4.7.3
