x,y,hue
1,2.000000,bind-9.18.4
2,4.000000,bind-9.18.4
3,6.000000,bind-9.18.4
4,8.000000,bind-9.18.4
5,10.000000,bind-9.18.4
6,12.000000,bind-9.18.4
7,14.000000,bind-9.18.4
8,16.000000,bind-9.18.4
9,18.000000,bind-9.18.4
10,20.000000,bind-9.18.4
11,22.000000,bind-9.18.4
12,24.000000,bind-9.18.4
13,26.000000,bind-9.18.4
14,28.000000,bind-9.18.4
15,30.000000,bind-9.18.4
16,32.000000,bind-9.18.4
17,34.000000,bind-9.18.4
18,36.000000,bind-9.18.4
19,38.000000,bind-9.18.4
20,40.000000,bind-9.18.4
1,175.000000,unbound-1.10.0
2,350.000000,unbound-1.10.0
3,525.000000,unbound-1.10.0
4,701.000000,unbound-1.10.0
5,877.000000,unbound-1.10.0
6,1053.000000,unbound-1.10.0
7,1229.000000,unbound-1.10.0
8,1405.000000,unbound-1.10.0
9,1582.000000,unbound-1.10.0
10,1757.000000,unbound-1.10.0
11,1936.000000,unbound-1.10.0
12,2117.000000,unbound-1.10.0
13,2288.000000,unbound-1.10.0
14,2474.000000,unbound-1.10.0
15,2648.000000,unbound-1.10.0
16,2746.000000,unbound-1.10.0
17,3006.000000,unbound-1.10.0
18,2216.000000,unbound-1.10.0
19,2296.000000,unbound-1.10.0
20,2560.000000,unbound-1.10.0
1,229.000000,unbound-1.16.0
2,458.000000,unbound-1.16.0
3,687.000000,unbound-1.16.0
4,687.000000,unbound-1.16.0
5,687.000000,unbound-1.16.0
6,687.000000,unbound-1.16.0
7,687.000000,unbound-1.16.0
8,687.000000,unbound-1.16.0
9,687.000000,unbound-1.16.0
10,687.000000,unbound-1.16.0
11,687.000000,unbound-1.16.0
12,687.000000,unbound-1.16.0
13,687.000000,unbound-1.16.0
14,687.000000,unbound-1.16.0
15,687.000000,unbound-1.16.0
16,687.000000,unbound-1.16.0
17,687.000000,unbound-1.16.0
18,687.000000,unbound-1.16.0
19,687.000000,unbound-1.16.0
20,687.000000,unbound-1.16.0
1,95.000000,powerDNS-4.7.3
2,95.000000,powerDNS-4.7.3
3,95.000000,powerDNS-4.7.3
4,95.000000,powerDNS-4.7.3
5,95.000000,powerDNS-4.7.3
6,95.000000,powerDNS-4.7.3
7,95.000000,powerDNS-4.7.3
8,95.000000,powerDNS-4.7.3
9,95.000000,powerDNS-4.7.3
10,95.000000,powerDNS-4.7.3
11,95.000000,powerDNS-4.7.3
12,95.000000,powerDNS-4.7.3
13,94.000000,powerDNS-4.7.3
14,94.000000,powerDNS-4.7.3
15,94.000000,powerDNS-4.7.3
16,94.000000,powerDNS-4.7.3
17,94.000000,powerDNS-4.7.3
18,94.000000,powerDNS-4.7.3
19,94.000000,powerDNS-4.7.3
20,94.000000,powerDNS-4.7.3
