x,y,hue
1,2.000000,bind-9.18.4
2,4.000000,bind-9.18.4
3,6.000000,bind-9.18.4
4,8.000000,bind-9.18.4
5,10.000000,bind-9.18.4
6,12.000000,bind-9.18.4
7,14.000000,bind-9.18.4
8,16.000000,bind-9.18.4
9,18.000000,bind-9.18.4
10,20.000000,bind-9.18.4
1,32.000000,unbound-1.10.0
2,64.000000,unbound-1.10.0
3,96.000000,unbound-1.10.0
4,128.000000,unbound-1.10.0
5,160.000000,unbound-1.10.0
6,192.000000,unbound-1.10.0
7,224.000000,unbound-1.10.0
8,256.000000,unbound-1.10.0
9,288.000000,unbound-1.10.0
10,320.000000,unbound-1.10.0
1,38.000000,unbound-1.16.0
2,76.000000,unbound-1.16.0
3,114.000000,unbound-1.16.0
4,114.000000,unbound-1.16.0
5,114.000000,unbound-1.16.0
6,114.000000,unbound-1.16.0
7,114.000000,unbound-1.16.0
8,114.000000,unbound-1.16.0
9,114.000000,unbound-1.16.0
10,114.000000,unbound-1.16.0
1,18.000000,powerDNS-4.7.3
2,36.000000,powerDNS-4.7.3
3,54.000000,powerDNS-4.7.3
4,55.000000,powerDNS-4.7.3
5,55.000000,powerDNS-4.7.3
6,55.000000,powerDNS-4.7.3
7,55.000000,powerDNS-4.7.3
8,55.000000,powerDNS-4.7.3
9,55.000000,powerDNS-4.7.3
10,55.000000,powerDNS-4.7.3
