delegations,Model work limit 100; chain length 11,Model work limit 100; chain length 11 (to example.com nameserver),Model work limit 100; chain length 11 (to example.net nameserver),Model maxFetch(6); chain length 12,Model maxFetch(6); chain length 12 (to example.com nameserver),Model maxFetch(6); chain length 12 (to example.net nameserver),Model; chain length 9,Model; chain length 9 (to example.com nameserver),Model; chain length 9 (to example.net nameserver),Unbound 1.16.0,Unbound 1.16.0 (to example.com nameserver),Unbound 1.16.0 (to example.net nameserver),Unbound 1.16.0 (to com nameserver),Unbound 1.16.0 with IPv6 disabled,Unbound 1.16.0 with IPv6 disabled (to example.com nameserver),Unbound 1.16.0 with IPv6 disabled (to example.net nameserver),Unbound 1.16.0 with IPv6 disabled (to com nameserver),Unbound 1.10.0,Unbound 1.10.0 (to example.com nameserver),Unbound 1.10.0 (to example.net nameserver),Unbound 1.10.0 (to com nameserver),Unbound 1.10.0 with IPv6 disabled,Unbound 1.10.0 with IPv6 disabled (to example.com nameserver),Unbound 1.10.0 with IPv6 disabled (to example.net nameserver),Unbound 1.10.0 with IPv6 disabled (to com nameserver),PowerDNS 4.7.0,PowerDNS 4.7.0 (to example.com nameserver),PowerDNS 4.7.0 (to example.net nameserver),PowerDNS 4.7.0 with IPv6 enabled,PowerDNS 4.7.0 with IPv6 enabled (to example.com nameserver),PowerDNS 4.7.0 with IPv6 enabled (to example.net nameserver),Knot 5.5.1,Knot 5.5.1 (to example.com nameserver),Knot 5.5.1 (to example.net nameserver),Knot 5.5.1 (to com nameserver),Knot 5.5.1 with IPv6 disabled,Knot 5.5.1 with IPv6 disabled (to example.com nameserver),Knot 5.5.1 with IPv6 disabled (to example.net nameserver),Knot 5.5.1 with IPv6 disabled (to com nameserver),BIND 9.18.4,BIND 9.18.4 (to example.com nameserver),BIND 9.18.4 (to example.net nameserver),BIND 9.18.4 with IPv6 disabled,BIND 9.18.4 with IPv6 disabled (to example.com nameserver),BIND 9.18.4 with IPv6 disabled (to example.net nameserver)
1,12,6,6,13,6,7,10,5,5,46,23,21,2,26,12,13,1,38,20,17,1,20,10,9,1,12,6,6,14,6,8,16,8,7,1,14,7,7,0,3,2,1,2,1,1
2,23,12,11,25,12,13,19,10,9,91,46,41,4,51,24,25,2,75,40,33,2,39,20,17,2,23,12,11,26,12,14,16,8,7,1,14,7,7,0,5,4,1,3,2,1
3,34,18,16,37,18,19,28,15,13,110,57,49,4,76,36,37,3,112,60,49,3,58,30,25,3,34,18,16,38,18,20,16,8,7,1,14,7,7,0,7,6,1,4,3,1
4,45,24,21,49,24,25,37,20,17,103,56,45,2,75,36,37,2,149,80,65,4,77,40,33,4,45,24,21,50,24,26,16,8,7,1,14,7,7,0,9,8,1,5,4,1
5,56,30,26,61,30,31,46,25,21,122,67,53,2,74,36,37,1,186,100,81,5,96,50,41,5,56,30,26,62,30,32,16,8,7,1,14,7,7,0,11,10,1,6,5,1
6,67,36,31,73,36,37,55,30,25,115,66,49,0,73,36,37,0,223,120,97,6,115,60,49,6,67,36,31,74,36,38,16,8,7,1,14,7,7,0,13,12,1,7,6,1
7,78,42,36,73,36,37,64,35,29,115,66,49,0,73,36,37,0,260,140,113,7,134,70,57,7,78,42,36,86,42,44,16,8,7,1,14,7,7,0,15,14,1,8,7,1
8,89,48,41,73,36,37,73,40,33,115,66,49,0,73,36,37,0,300,160,129,8,153,80,65,8,89,48,41,98,48,50,16,8,7,1,14,7,7,0,17,16,1,9,8,1
9,100,54,46,73,36,37,82,45,37,115,66,49,0,73,36,37,0,334,180,145,9,172,90,73,9,100,54,46,101,50,51,16,8,7,1,14,7,7,0,19,18,1,10,9,1
10,100,53,47,73,36,37,91,50,41,115,66,49,0,73,36,37,0,371,200,161,10,191,100,81,10,100,54,46,101,50,51,18,8,8,1+1 to net,14,7,7,0,21,20,1,11,10,1
20,,,,,,,,,,115,66,49,0,73,36,37,0,741,400,321,20,381,200,161,20,56,30,26,62,30,32,16,8,7,1,14,7,7,0,35,34,1,18,17,1
